StreamName,MaxE2E(us),Deadline(us),Path
Stream_116,3665.7,13775,ES_58->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_26
Stream_117,826.1,4238,ES_59->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->ES_73
Stream_118,1445.7,10615,ES_59->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->ES_80
Stream_119,294.5,19483,ES_60->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->ES_80
Stream_120,444.0,17981,ES_60->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->ES_45
Stream_121,227.6,7470,ES_61->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->ES_77
Stream_122,135.4,15948,ES_61->Switch_21->ES_63
Stream_123,1146.9,9008,ES_62->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_25
Stream_124,1052.4,6482,ES_62->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->ES_84
Stream_125,4241.8,7287,ES_63->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_26
Stream_126,1472.8,16102,ES_63->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->ES_49
Stream_127,1296.8,12794,ES_64->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->ES_44
Stream_128,1148.2,8799,ES_64->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_19
